Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides sample_1,Peptides sample_10,Peptides sample_11,Peptides sample_12,Peptides sample_13,Peptides sample_14,Peptides sample_2,Peptides sample_3,Peptides sample_4,Peptides sample_5,Peptides sample_6,Peptides sample_7,Peptides sample_8,Peptides sample_9,Razor + unique peptides sample_1,Razor + unique peptides sample_10,Razor + unique peptides sample_11,Razor + unique peptides sample_12,Razor + unique peptides sample_13,Razor + unique peptides sample_14,Razor + unique peptides sample_2,Razor + unique peptides sample_3,Razor + unique peptides sample_4,Razor + unique peptides sample_5,Razor + unique peptides sample_6,Razor + unique peptides sample_7,Razor + unique peptides sample_8,Razor + unique peptides sample_9,Unique peptides sample_1,Unique peptides sample_10,Unique peptides sample_11,Unique peptides sample_12,Unique peptides sample_13,Unique peptides sample_14,Unique peptides sample_2,Unique peptides sample_3,Unique peptides sample_4,Unique peptides sample_5,Unique peptides sample_6,Unique peptides sample_7,Unique peptides sample_8,Unique peptides sample_9,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Experiment sample_1,Experiment sample_10,Experiment sample_11,Experiment sample_12,Experiment sample_13,Experiment sample_14,Experiment sample_2,Experiment sample_3,Experiment sample_4,Experiment sample_5,Experiment sample_6,Experiment sample_7,Experiment sample_8,Experiment sample_9,PEP,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L sample_1,Ratio H/L normalized sample_1,Ratio H/L variability [%] sample_1,Ratio H/L count sample_1,Ratio H/L sample_10,Ratio H/L normalized sample_10,Ratio H/L variability [%] sample_10,Ratio H/L count sample_10,Ratio H/L sample_11,Ratio H/L normalized sample_11,Ratio H/L variability [%] sample_11,Ratio H/L count sample_11,Ratio H/L sample_12,Ratio H/L normalized sample_12,Ratio H/L variability [%] sample_12,Ratio H/L count sample_12,Ratio H/L sample_13,Ratio H/L normalized sample_13,Ratio H/L variability [%] sample_13,Ratio H/L count sample_13,Ratio H/L sample_14,Ratio H/L normalized sample_14,Ratio H/L variability [%] sample_14,Ratio H/L count sample_14,Ratio H/L sample_2,Ratio H/L normalized sample_2,Ratio H/L variability [%] sample_2,Ratio H/L count sample_2,Ratio H/L sample_3,Ratio H/L normalized sample_3,Ratio H/L variability [%] sample_3,Ratio H/L count sample_3,Ratio H/L sample_4,Ratio H/L normalized sample_4,Ratio H/L variability [%] sample_4,Ratio H/L count sample_4,Ratio H/L sample_5,Ratio H/L normalized sample_5,Ratio H/L variability [%] sample_5,Ratio H/L count sample_5,Ratio H/L sample_6,Ratio H/L normalized sample_6,Ratio H/L variability [%] sample_6,Ratio H/L count sample_6,Ratio H/L sample_7,Ratio H/L normalized sample_7,Ratio H/L variability [%] sample_7,Ratio H/L count sample_7,Ratio H/L sample_8,Ratio H/L normalized sample_8,Ratio H/L variability [%] sample_8,Ratio H/L count sample_8,Ratio H/L sample_9,Ratio H/L normalized sample_9,Ratio H/L variability [%] sample_9,Ratio H/L count sample_9,Sequence coverage sample_1 [%],Sequence coverage sample_10 [%],Sequence coverage sample_11 [%],Sequence coverage sample_12 [%],Sequence coverage sample_13 [%],Sequence coverage sample_14 [%],Sequence coverage sample_2 [%],Sequence coverage sample_3 [%],Sequence coverage sample_4 [%],Sequence coverage sample_5 [%],Sequence coverage sample_6 [%],Sequence coverage sample_7 [%],Sequence coverage sample_8 [%],Sequence coverage sample_9 [%],Intensity,Intensity L,Intensity H,Intensity sample_1,Intensity L sample_1,Intensity H sample_1,Intensity sample_10,Intensity L sample_10,Intensity H sample_10,Intensity sample_11,Intensity L sample_11,Intensity H sample_11,Intensity sample_12,Intensity L sample_12,Intensity H sample_12,Intensity sample_13,Intensity L sample_13,Intensity H sample_13,Intensity sample_14,Intensity L sample_14,Intensity H sample_14,Intensity sample_2,Intensity L sample_2,Intensity H sample_2,Intensity sample_3,Intensity L sample_3,Intensity H sample_3,Intensity sample_4,Intensity L sample_4,Intensity H sample_4,Intensity sample_5,Intensity L sample_5,Intensity H sample_5,Intensity sample_6,Intensity L sample_6,Intensity H sample_6,Intensity sample_7,Intensity L sample_7,Intensity H sample_7,Intensity sample_8,Intensity L sample_8,Intensity H sample_8,Intensity sample_9,Intensity L sample_9,Intensity H sample_9
A5Z2X5,A5Z2X5,1,1,1,UPF0495 protein YPR010C-A,YPR010C-A,>sp|A5Z2X5|YP010_YEAST UPF0495 protein YPR010C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR010C-A PE=3 SV=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33.3,33.3,33.3,7.9021,72,72,1,32,2,2,2,2,2,2,2,3,3,2,2,3,3,2,5.81E-94,0.19152,0.16452,30.02,28,0.21059,0.19207,2.055,2,0.19694,0.15704,5.8032,2,0.14154,0.16582,3.4605,2,0.18612,0.16232,2.7209,2,0.17356,0.14391,2.7173,2,0.51738,0.48533,15.349,2,0.20758,0.17362,5.5283,2,0.20272,0.18582,8.7487,2,0.17124,0.14804,2.8109,2,0.17907,0.16282,2.2458,2,0.20229,0.17572,4.1835,2,0.14562,0.16391,2.2129,2,0.19985,0.15876,3.4429,2,0.18486,0.14468,4.1109,2,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,14129000000,11813000000,2316000000,786140000,637840000,148300000,576060000,470480000,105580000,1009100000,886420000,122650000,983000000,821830000,161160000,788330000,671880000,116450000,499970000,319960000,180010000,1144000000,961810000,182210000,1011300000,834020000,177290000,1513100000,1287200000,225840000,713070000,597670000,115400000,971140000,795950000,175190000,2095300000,1827900000,267410000,1009200000,831770000,177440000,1029200000,868190000,161040000
D6VTK4,D6VTK4,1,1,1,Pheromone alpha factor receptor,STE2,>sp|D6VTK4|STE2_YEAST Pheromone alpha factor receptor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE2 PE=1 SV=2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7,3.7,3.7,47.848,431,431,1,1,,,,,,,,1,,,,,,,0.00038535,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D6W196,D6W196,2,2,2,Truncated non-functional calcium-binding mitochondrial carrier SAL1-1,SAL1,>sp|D6W196|CMC1_YEAST Truncated non-functional calcium-binding mitochondrial carrier SAL1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAL1 PE=1 SV=2,1,2,2,2,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,0,2,2,0,5.7,5.7,5.7,55.714,494,494,1,7,,,1,,,,1,1,,,,2,2,,6.10E-15,0.41993,0.44004,27.451,4,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0.40182,0.49191,38.748,2,NaN,NaN,NaN,1,NaN,NaN,NaN,0,0,0,3.4,0,0,0,3.4,2.2,0,0,0,5.7,5.7,0,66672000,51868000,14804000,0,0,0,0,0,0,5337800,5337800,0,0,0,0,0,0,0,0,0,0,0,0,0,12874000,6363600,6510200,0,0,0,0,0,0,0,0,0,36474000,29917000,6557300,11986000,10250000,1736400,0,0,0
O13297,O13297,7,7,7,mRNA-capping enzyme subunit beta,CET1,>sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CET1 PE=1 SV=2,1,7,7,7,2,4,2,2,3,1,2,5,3,2,3,2,3,4,2,4,2,2,3,1,2,5,3,2,3,2,3,4,2,4,2,2,3,1,2,5,3,2,3,2,3,4,23.1,23.1,23.1,61.849,549,549,1,54,3,5,3,5,6,4,2,5,4,2,5,2,3,5,1.07E-69,0.58554,0.57822,27.924,38,0.51133,0.56605,3.6598,2,0.61583,0.60584,54.88,4,0.4085,0.51393,6.9252,3,0.72122,0.68431,14.029,2,0.66698,0.6314,19.965,4,0.76756,0.79804,20.208,2,0.419,0.41311,38.562,2,0.50173,0.54579,10.846,4,0.69985,0.64426,12.47,3,0.50471,0.51095,5.3886,2,0.61351,0.58557,8.3711,4,NaN,NaN,NaN,1,0.67616,0.64116,23.495,3,0.53485,0.54776,21.214,2,5.1,10.9,5.6,5.1,7.5,2.9,6.4,13.5,8,5.1,7.5,5.8,8,13.7,663890000,410540000,253350000,49161000,29894000,19267000,68404000,43897000,24507000,27870000,19683000,8186700,29190000,15726000,13464000,36174000,19539000,16635000,48509000,24453000,24056000,22970000,15735000,7234900,157690000,107140000,50555000,22999000,14194000,8804900,53555000,37277000,16277000,80451000,44018000,36434000,19503000,12447000,7056300,18261000,10629000,7631400,29153000,15907000,13246000
O13516,O13516,13,1,1,40S ribosomal protein S9-A,RPS9A,>sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3,1,13,1,1,12,12,12,12,13,12,13,12,13,12,12,13,13,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82.2,5.6,5.6,22.443,197,197,1,35,2,3,3,2,2,4,2,5,1,2,3,2,2,2,2.94E-282,0.85241,0.79606,37.189,32,0.82103,0.76083,20.055,2,1.1277,1.0397,16.809,3,0.67177,0.81926,5.3765,2,0.56988,0.53168,70.838,2,0.91814,0.83264,9.9945,2,1.5124,1.5502,17.137,3,0.66082,0.63086,32.098,2,0.75178,0.6866,13.323,4,NaN,NaN,NaN,1,0.85042,0.77369,15.45,2,0.87373,0.74287,47.277,3,0.65549,0.80049,1.444,2,0.88833,0.79583,5.724,2,0.51887,0.47771,75.67,2,81.7,81.7,81.7,81.7,82.2,81.7,82.2,81.7,82.2,81.7,81.7,82.2,82.2,77.2,7936000000,4200200000,3735900000,1225700000,703170000,522530000,640070000,302120000,337950000,611580000,354580000,257000000,341960000,189610000,152350000,191340000,101000000,90341000,1210700000,495000000,715710000,158640000,91434000,67201000,1301900000,721390000,580470000,121060000,65827000,55229000,937030000,512530000,424490000,565280000,312960000,252320000,218870000,127570000,91302000,143310000,72713000,70598000,268640000,150270000,118370000
P43538;Q08995;Q3E7X8;Q99208;Q07888;Q03099;O13559;P40105;P40889;P40434;P0CX22;P0CX21;P0CX20;P53819;P0CX15;P0CX14;Q3E7Y4;P38899;Q3E7Y5;P38721,P43538;Q08995;Q3E7X8;Q99208;Q07888;Q03099;O13559;P40105;P40889;P40434;P0CX22;P0CX21;P0CX20;P53819;P0CX15;P0CX14;Q3E7Y4;P38899;Q3E7Y5;P38721,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Y element ATP-dependent helicase YFL066C;Y element ATP-dependent helicase YPR204W;Y element ATP-dependent helicase YEL077C;Y element ATP-dependent helicase YLL066C;Y element ATP-dependent helicase YLL067C;Y element ATP-dependent helicase YML133C;Y element ATP-dependent helicase protein 1 copy 4;Y element ATP-dependent helicase protein 1 copy 2;Y element ATP-dependent helicase YJL225C;Y element ATP-dependent helicase YIL177C;Y element ATP-dependent helicase protein 1 copy 8;Y element ATP-dependent helicase protein 1 copy 5;Y element ATP-dependent helicase protein 1 copy 1;Y element ATP-dependent helicase protein 1 copy 6;Y element ATP-dependent helicase protein 1 copy 7;Y element ATP-dependent helicase protein 1 copy 3;Putative uncharacterized helicase-like protein YBL112C;Putative uncharacterized protein YHR218W;Uncharacterized helicase-like protein YBL111C;Uncharacterized protein YHL050C,YFL066C;YPR204W;YEL077C;YRF1-4;YRF1-2;YIL177C;YRF1-8;YRF1-5;YRF1-1;YRF1-6;YRF1-7;YRF1-3;YBL112C;YHR218W;YBL111C;YHL050C,>sp|P43538|YFG6_YEAST Y element ATP-dependent helicase YFL066C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFL066C PE=2 SV=1;>sp|Q08995|YP204_YEAST Y element ATP-dependent helicase YPR204W OS=Saccharomyces cerevisiae (strain ATCC 204508 /,20,2,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,5.9,5.9,5.9,43.828,392,392;1032;1277;1374;1374;1374;1382;1681;1758;1758;1796;1796;1796;1859;1859;1859;105;603;667;697,1,6,1,1,,,,,,1,2,,,1,,,1.02E-05,0.67279,0.74561,57.374,4,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,2.3,3.6,0,0,0,0,0,3.6,3.6,0,0,3.6,0,0,37740000,19628000,18112000,6973300,4751800,2221500,10860000,6535400,4324800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10134000,3594600,6539700,0,0,0,0,0,0,0,0,0,9772800,4746600,5026100,0,0,0,0,0,0
O13585,O13585,6,6,6,Dilute domain-containing protein YPR089W,,>sp|O13585|YP089_YEAST Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR089W PE=1 SV=2,1,6,6,6,1,0,1,0,0,3,1,2,0,3,1,2,2,1,1,0,1,0,0,3,1,2,0,3,1,2,2,1,1,0,1,0,0,3,1,2,0,3,1,2,2,1,13.1,13.1,13.1,102.58,888,888,1,17,1,,1,,,3,1,2,,3,1,2,2,1,3.26E-44,0.70287,0.74098,14.409,13,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.58365,0.61067,27.353,2,NaN,NaN,NaN,0,0.82519,0.7855,0.42404,2,NaN,NaN,NaN,0,0.53997,0.68448,22.915,2,0.72066,0.65274,8.1948,2,NaN,NaN,NaN,1,3,0,3,0,0,6.8,3.2,4.5,0,4.8,3,5.2,6.2,1.7,337030000,209530000,127500000,15531000,8536700,6993900,0,0,0,10981000,7766500,3214400,0,0,0,0,0,0,16098000,8672100,7425400,26501000,17649000,8852000,28835000,16850000,11985000,0,0,0,28801000,18319000,10481000,0,0,0,112250000,78356000,33893000,89698000,49049000,40649000,8336200,4327200,4009000
P05745;O14455,P05745;O14455,5;5,5;5,5;5,60S ribosomal protein L36-A;60S ribosomal protein L36-B,RPL36A;RPL36B,>sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36A PE=1 SV=3;>sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3,2,5,5,5,3,3,4,3,3,3,5,3,4,3,4,5,5,3,3,3,4,3,3,3,5,3,4,3,4,5,5,3,3,3,4,3,3,3,5,3,4,3,4,5,5,3,63,63,63,11.124,100,100;100,1,64,4,3,5,4,4,3,6,4,5,4,5,7,7,3,2.37E-23,1.2363,1.2599,22.436,59,1.1289,1.2233,6.4317,4,1.3314,1.2599,12.734,3,1.0036,1.2958,22.977,5,1.2512,1.2653,12.075,4,1.2659,1.1885,48.072,4,2.2959,2.1766,15.32,3,1.2319,1.2478,9.706,5,1.1731,1.2186,5.0346,3,1.1198,1.0811,15.737,5,1.2027,1.2359,4.3068,4,1.3525,1.3413,30.25,4,1.0307,1.2326,7.6167,6,1.5204,1.3888,6.2647,6,1.2551,1.2597,4.6746,3,34,34,63,34,34,34,63,34,63,34,34,63,63,34,1532500000,642690000,889800000,127500000,60016000,67479000,39345000,17100000,22245000,85392000,39067000,46324000,64998000,29128000,35869000,28627000,12476000,16151000,150860000,43213000,107640000,102620000,46208000,56411000,72202000,31556000,40646000,33556000,16122000,17434000,111420000,50253000,61164000,56813000,23367000,33446000,275620000,131290000,144340000,344120000,126070000,218040000,39431000,16822000,22609000
O14467,O14467,8,8,8,Multiprotein-bridging factor 1,MBF1,>sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBF1 PE=1 SV=2,1,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,8,7,8,8,8,8,8,8,8,8,6,7,8,8,8,7,8,8,8,8,8,8,8,8,6,7,8,8,8,7,60.9,60.9,60.9,16.403,151,151,1,154,12,10,11,11,10,13,12,13,8,11,12,11,11,9,1.33E-135,0.67123,0.66988,20.509,149,0.61097,0.64381,16.487,12,0.90646,0.77828,17.909,10,0.54556,0.67352,18.049,11,0.77179,0.73485,16.515,11,0.73568,0.64867,43.845,10,0.90129,0.89092,25.984,12,0.71024,0.66935,7.9752,11,0.6317,0.62947,15.744,13,0.69829,0.67884,10.958,8,0.66273,0.61209,18.433,10,0.68824,0.62499,13.737,11,0.58312,0.64348,18.784,11,0.74797,0.6737,15.827,11,0.77616,0.73077,11.151,8,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,53,49.7,60.9,60.9,60.9,58.3,4026200000,2527000000,1499200000,431620000,275210000,156410000,240880000,141130000,99745000,260370000,175870000,84498000,105240000,64384000,40859000,46818000,28816000,18003000,835100000,519250000,315850000,108540000,63570000,44972000,1090000000,690180000,399830000,50099000,30509000,19591000,441290000,283570000,157720000,126150000,77067000,49078000,109270000,70966000,38302000,102200000,60149000,42052000,78644000,46337000,32308000
O43137,O43137,4,4,4,Uncharacterized protein YBR085C-A,YBR085C-A,>sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR085C-A PE=1 SV=1,1,4,4,4,2,1,0,1,1,2,2,2,0,2,0,0,2,0,2,1,0,1,1,2,2,2,0,2,0,0,2,0,2,1,0,1,1,2,2,2,0,2,0,0,2,0,77.6,77.6,77.6,9.4044,85,85,1,18,3,2,,1,1,2,2,2,,2,,,3,,7.16E-35,0.82736,0.87831,89.67,6,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0.28552,0.2896,136.11,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,48.2,14.1,0,36.5,11.8,51.8,50.6,48.2,0,48.2,0,0,50.6,0,375820000,308260000,67566000,25365000,13430000,11935000,0,0,0,0,0,0,0,0,0,0,0,0,277710000,253550000,24167000,32801000,15769000,17032000,20794000,14310000,6484200,0,0,0,0,0,0,0,0,0,0,0,0,19147000,11199000,7948400,0,0,0
